# z6 logger sensor info for UVM DSWR project. ,,,
Treatment,Serial,Port,Sensor
DAF LOW,z6-14354,1,TEROS 11
DAF LOW,z6-14354,2,TEROS 11
DAF LOW,z6-14354,3,SO-411
DAF LOW,z6-14354,4,SO-411
DAF HIGH,z6-14355,1,TEROS 11
DAF HIGH,z6-14355,2,TEROS 11
DAF HIGH,z6-14355,3,SO-411
DAF HIGH,z6-14355,4,SO-411
WEST HIGH,z6-14345,1,TEROS 11
WEST HIGH,z6-14345,2,TEROS 11
WEST HIGH,z6-14345,3,SO-411
WEST HIGH,z6-14345,4,SO-411
WEST LOW,z6-14348,1,TEROS 11
WEST LOW,z6-14348,2,TEROS 11
WEST LOW,z6-14348,3,SO-411
WEST LOW,z6-14348,4,SO-411
WEST LOW,z6-14348,5,SO-411
WEST LOW,z6-14348,6,TEROS 11
EAST HIGH,z6-14347,1,TEROS 11
EAST HIGH,z6-14347,2,TEROS 11
EAST HIGH,z6-14347,3,SO-411
EAST HIGH,z6-14347,4,SO-411
EAST LOW,z6-14353,1,TEROS 11
EAST LOW,z6-14353,2,TEROS 11
EAST LOW,z6-14353,3,SO-411
EAST LOW,z6-14353,4,SO-411
rain gauge,z6-18472,1,ECRN-100
rain gauge,z6-18472,2,ATMOS 14
west tile,z6-18472,3,ES-2
east tile,z6-18472,4,ES-2
west surface,z6-19406,1,ES-2
east surface,z6-19406,2,ES-2
Mid tile,z6-18384,1,ES-2
Mid surface,z6-18384,2,ES-2
Mid peizometer,z6-18384,3,ES-2
North tile,z6-18394,1,ES-2
North surface,z6-18394,2,ES-2